day,closing,alpha,f,yield
2019/1/2,2465.29,6.94E-18,-0.0423,-0.00501
2019/1/3,2464.36,0.5946,-0.08998,-0.00016
2019/1/4,2514.87,0.649862,-0.53724,0.008811
2019/1/7,2533.09,0.988784,0.663702,0.003135
2019/1/8,2526.46,1.263934,-0.36171,-0.00114
2019/1/9,2544.34,0.809741,-0.529,0.003063
2019/1/10,2535.1,3.94E-11,-0.6524,-0.00158
2019/1/11,2553.83,0.873626,-0.67537,0.003197
2019/1/14,2535.77,0.790482,-0.67729,-0.00308
2019/1/15,2570.34,9.23E-11,0.021883,0.005881
2019/1/16,2570.42,0.710583,-0.17542,0.0000135
2019/1/17,2559.64,1.069504,-0.82336,-0.00183
2019/1/18,2596.01,0.896271,-1.18335,0.006127
2019/1/21,2610.51,8.50E-12,-0.87087,0.002419
2019/1/22,2579.7,0.460547,0.767446,-0.00516
2019/1/23,2581,0.373778,-0.77669,0.000219
2019/1/24,2591.69,1.118994,-0.42879,0.001795
2019/1/25,2601.72,1.712885,-1.43562,0.001678
2019/1/28,2596.98,0.24315,0.493481,-0.00079
2019/1/29,2594.25,2.322098,-0.63884,-0.00046
2019/1/30,2575.58,1.568787,-1.63133,-0.00314
2019/1/31,2584.57,0.697421,-0.49352,0.001513
2019/2/1,2618.23,0.732019,0.078661,0.005619
2019/2/11,2653.9,1.99E-15,0.05873,0.005877
2019/2/12,2671.89,1.858528,-1.17185,0.002934
2019/2/13,2721.07,0.535344,-0.86912,0.007921
2019/2/14,2719.7,1.538971,-1.17541,-0.00022
2019/2/15,2682.39,1.178219,-0.21293,-0.006
2019/2/18,2754.36,1.581706,-0.66134,0.011499
2019/2/19,2755.65,0.05673,-0.05328,0.000203
2019/2/20,2761.22,0.059183,0.595544,0.000877
2019/2/22,2804.23,1.00E-10,-0.16521,0.006713
2019/2/25,2961.28,0.49638,-1.12933,0.023666
2019/2/27,2953.82,0.451396,-0.063,-0.0011
2019/2/28,2940.95,1.064147,-0.78481,-0.0019
2019/3/1,2994.01,0.23137,0.380198,0.007766
2019/3/4,3027.58,0.666425,-1.154,0.004842
2019/3/5,3054.25,2.80E-11,-0.3205,0.003809
2019/3/6,3102.1,0.562341,0.663929,0.006751
2019/3/7,3106.42,0.283365,-0.18842,0.000604
2019/3/8,2969.86,0.089552,-0.009,-0.01952
2019/3/11,3026.99,1.93E-11,0.675909,0.008275
2019/3/12,3060.31,0.478407,-0.02094,0.004754
2019/3/13,3026.95,0.717431,-1.13935,-0.00476
2019/3/14,2990.69,0.553041,-0.4487,-0.00523
2019/3/15,3021.75,0.197534,-0.44103,0.004487
2019/3/18,3096.42,1.140045,-0.25708,0.010601
2019/3/19,3090.98,3.47E-18,0.013002,-0.00076
2019/3/20,3090.64,0.031474,-0.00993,-0.000048
2019/3/21,3101.46,1.93E-16,-0.20318,0.001518
2019/3/22,3104.15,1.003402,-1.26271,0.000377
2019/3/25,3043.03,0.394768,-0.01177,-0.00864
2019/3/26,2997.1,1.03E-10,-0.5748,-0.00661
2019/3/27,3022.72,0.923599,-0.58926,0.003697
2019/3/28,2994.94,0.457018,0.634871,-0.00401
2019/3/29,3090.76,0.331009,-0.38371,0.013677
2019/4/1,3170.36,6.68E-11,0.918266,0.011043
2019/4/2,3176.82,0.325484,0.242662,0.000884
2019/4/3,3216.3,0.500825,-0.95679,0.005364
2019/4/4,3246.57,1.074732,-0.38054,0.004068
2019/4/8,3244.81,1.076823,-0.20294,-0.00024
2019/4/9,3239.66,0.739581,-1.17834,-0.00069
2019/4/10,3241.93,8.06E-10,-0.03456,0.000304
2019/4/11,3189.96,0.410274,-0.72398,-0.00702
2019/4/12,3188.63,0.617698,0.386411,-0.00018
2019/4/15,3177.79,0.365355,0.343894,-0.00148
2019/4/16,3253.6,0.603963,0.265177,0.010239
2019/4/17,3263.12,0.402495,-0.18196,0.001269
2019/4/18,3250.2,5.50E-14,-0.51524,-0.00172
2019/4/19,3270.8,0.518603,0.558074,0.002744
2019/4/22,3215.04,0.307838,0.369732,-0.00747
2019/4/23,3198.59,0.640071,-0.47249,-0.00223
2019/4/24,3201.61,0.027532,0.647644,0.00041
2019/4/25,3123.83,0.098138,-0.0818,-0.01068
2019/4/26,3086.4,0.566761,-0.48417,-0.00524
2019/4/29,3062.5,1.73E-18,0.274167,-0.00338
2019/4/30,3078.34,5.90E-14,0.637694,0.00224
2019/5/6,2906.46,0.938376,-0.82599,-0.02495
2019/5/7,2926.39,0.165785,-1.01675,0.002968
2019/5/8,2893.76,0.791137,-0.29569,-0.00487
2019/5/9,2850.95,1.939976,-0.90917,-0.00647
2019/5/10,2939.21,1.626795,1.21934,0.013241
2019/5/13,2903.71,0.383494,0.04548,-0.00528
2019/5/14,2883.61,1.012825,-0.34409,-0.00302
2019/5/15,2938.68,0.280529,0.126226,0.008216
2019/5/16,2955.71,0.700599,-0.68996,0.00251
2019/5/17,2882.3,0.876969,-0.48927,-0.01092
2019/5/20,2870.6,2.34E-12,1.218401,-0.00177
2019/5/21,2905.97,0.823866,-0.23872,0.005318
2019/5/22,2891.7,0.718078,-0.44228,-0.00214
2019/5/23,2852.52,3.54E-13,-0.41778,-0.00592
2019/5/24,2852.99,0.47523,-0.17377,0.0000716
2019/5/27,2892.38,5.35E-13,-0.46469,0.005955
2019/5/28,2909.91,1.14E-09,-0.35577,0.002624
2019/5/29,2914.7,1.856096,-0.64581,0.000714
2019/5/30,2905.81,5.04E-10,-0.62227,-0.00133
2019/5/31,2898.7,0.504244,0.338798,-0.00106
2019/6/3,2890.08,1.00E-10,0.326141,-0.00129
2019/6/4,2862.28,0.837618,-0.40607,-0.0042
2019/6/5,2861.42,1.73E-18,-0.03116,-0.00013
2019/6/6,2827.8,4.30E-10,0.368167,-0.00513
2019/6/10,2852.13,0.454584,0.793566,0.003721
2019/6/11,2925.72,0.511332,0.419332,0.011063
2019/6/12,2909.38,0.153074,-0.57304,-0.00243
2019/6/13,2910.74,1.392402,-1.04542,0.000203
2019/6/14,2881.97,0.635954,-1.32533,-0.00431
2019/6/17,2887.62,0.546619,-0.67664,0.000851
2019/6/18,2890.16,0.832844,-0.33931,0.000382
2019/6/19,2917.8,0.054782,0.019632,0.004134
2019/6/20,2987.12,1.127174,0.224783,0.010197
2019/6/21,3001.98,0.537293,0.57586,0.002155
2019/6/24,3008.15,0.796685,0.551139,0.000892
2019/6/25,2982.07,0.784025,0.163192,-0.00378
2019/6/26,2976.28,8.67E-19,0.000188,-0.00084
2019/6/27,2996.79,0.335337,0.112182,0.002983
2019/6/28,2978.88,0.013953,0.376865,-0.0026
2019/7/1,3044.9,1.158308,0.69327,0.00952
2019/7/2,3043.94,0.387021,0.964835,-0.00014
2019/7/3,3015.26,0.837009,-0.1903,-0.00411
2019/7/4,3005.25,0.057478,0.368689,-0.00144
2019/7/5,3011.06,1.310621,-0.3096,0.000839
2019/7/8,2933.36,0.583379,0.391793,-0.01135
2019/7/9,2928.23,1.019703,-0.28967,-0.00076
2019/7/10,2915.3,0.798807,0.093283,-0.00192
2019/7/11,2917.76,0.702494,0.615181,0.000366
2019/7/12,2930.55,0.355979,0.679381,0.0019
2019/7/15,2942.19,0.436071,0.659882,0.001722
2019/7/16,2937.62,1.22674,-0.10554,-0.00068
2019/7/17,2931.69,0.497101,0.56284,-0.00088
2019/7/18,2901.18,0.829399,-0.824,-0.00454
2019/7/19,2924.2,1.73E-18,0.408418,0.003432
2019/7/22,2886.97,5.90E-17,0.197125,-0.00556
2019/7/23,2899.94,0.596881,0.181766,0.001947
2019/7/24,2923.28,2.56E-12,-0.08665,0.003481
2019/7/25,2937.36,5.83E-16,0.191111,0.002087
2019/7/26,2944.54,8.16E-15,0.675932,0.00106
2019/7/29,2941.01,1.038073,-0.96857,-0.00052
2019/7/30,2952.34,0.965593,-0.43044,0.00167
2019/7/31,2932.51,2.36E-16,0.267081,-0.00293
2019/8/1,2908.77,3.93E-15,-0.0912,-0.00353
2019/8/2,2867.84,5.29E-17,0.765229,-0.00615
2019/8/5,2821.5,0.668137,-0.62071,-0.00707
2019/8/6,2777.56,0.977211,0.718454,-0.00682
2019/8/7,2768.68,1.050885,-0.64017,-0.00139
2019/8/8,2794.55,2.82E-12,1.047218,0.004039
2019/8/9,2774.75,0.095046,-0.35928,-0.00309
2019/8/12,2814.99,0.144881,0.906719,0.006253
2019/8/13,2797.26,0.893364,-0.25841,-0.00274
2019/8/14,2808.91,1.103651,-0.36391,0.001805
2019/8/15,2815.8,0.337511,-0.25481,0.001064
2019/8/16,2823.82,0.821304,-0.26328,0.001235
2019/8/19,2883.1,0.139468,-0.49066,0.009023
2019/8/20,2880,0.920805,-0.41893,-0.00047
2019/8/21,2880.33,1.87E-12,1.327044,0.0000498
2019/8/22,2883.44,1.31E-11,-0.46674,0.000469
2019/8/23,2897.43,1.861098,-1.15095,0.002102
2019/8/26,2863.57,1.376451,-0.83094,-0.00511
2019/8/27,2902.19,0.98508,-0.63385,0.005818
2019/8/28,2893.76,0.726444,-0.02812,-0.00126
2019/8/29,2890.92,0.180366,-0.18212,-0.00043
2019/8/30,2886.24,0.277238,0.574034,-0.0007
2019/9/2,2924.11,0.663415,0.434112,0.005661
2019/9/3,2930.15,1.11E-16,0.195825,0.000896
2019/9/4,2957.41,8.76E-15,1.087264,0.004022
2019/9/5,2985.86,0.678068,0.565771,0.004158
2019/9/6,2999.6,0.415018,-0.43763,0.001994
2019/9/9,3024.74,0.875229,-0.3003,0.003625
2019/9/10,3021.2,1.148769,-0.73819,-0.00051
2019/9/11,3008.81,1.069122,-0.8626,-0.00178
2019/9/12,3031.24,0.896797,-0.45357,0.003226
2019/9/16,3030.75,2.14E-13,-0.08544,-0.00007
2019/9/17,2978.12,1.147433,-0.71542,-0.00761
2019/9/18,2985.66,0.912022,-0.94129,0.001098
2019/9/19,2999.28,1.316695,-0.52482,0.001977
2019/9/20,3006.45,0.304702,0.843153,0.001037
2019/9/23,2977.08,1.26E-10,-0.18757,-0.00426
2019/9/24,2985.34,0.380607,0.378396,0.001203
2019/9/25,2955.43,1.191138,-0.97345,-0.00437
2019/9/26,2929.09,0.858175,0.122672,-0.00389
2019/9/27,2932.17,0.422928,0.642924,0.000456
2019/9/30,2905.19,9.93E-17,-0.0138,-0.00401
2019/10/8,2913.57,0.33091,-0.4931,0.001251
2019/10/9,2924.86,0.089513,0.691358,0.00168
2019/10/10,2947.71,0.656242,-0.03247,0.00338
2019/10/11,2973.66,0.339466,-0.07073,0.003807
2019/10/14,3007.88,0.272363,0.132106,0.004969
2019/10/15,2991.05,0.686741,0.404008,-0.00244
2019/10/16,2978.71,0.70874,0.225064,-0.0018
2019/10/17,2977.33,0.584301,-0.41078,-0.0002
2019/10/18,2938.14,0.024633,-0.23996,-0.00575
2019/10/21,2939.62,1.22925,-0.6249,0.000219
2019/10/22,2954.38,0.742742,-0.66486,0.002175
2019/10/23,2941.62,0.473429,0.356519,-0.00188
2019/10/24,2940.92,0.319307,-0.29465,-0.0001
2019/10/25,2954.93,0.780435,-0.03093,0.002064
2019/10/28,2980.05,0.354342,1.179017,0.003676
2019/10/29,2954.18,0.007007,0.548541,-0.00379
2019/10/30,2939.32,0.403754,-0.0903,-0.00219
2019/10/31,2929.06,2.38E-11,-0.57509,-0.00152
2019/11/1,2958.2,0.581344,-0.32827,0.004299
2019/11/4,2975.49,1.150577,-1.21815,0.002531
2019/11/5,2991.56,0.977637,-0.33311,0.002339
2019/11/6,2978.6,2.04E-11,-0.24433,-0.00189
2019/11/7,2978.71,0.745053,-0.99533,0.000016
2019/11/8,2964.18,0.864475,-1.50923,-0.00212
2019/11/11,2909.97,1.487856,-1.20086,-0.00802
2019/11/12,2914.82,1.170806,-1.21812,0.000723
2019/11/13,2905.24,9.55E-14,-0.17578,-0.00143
2019/11/14,2909.87,1.277056,-1.38364,0.000692
2019/11/15,2891.34,0.471419,-0.39302,-0.00277
2019/11/18,2909.2,9.47E-13,0.48222,0.002674
2019/11/19,2933.99,1.182592,-0.49401,0.003685
2019/11/20,2911.05,0.725749,-0.30681,-0.00341
2019/11/21,2903.64,0.270663,-0.33045,-0.00111
2019/11/22,2885.29,2.52E-10,-0.18572,-0.00275
2019/11/25,2906.17,0.394023,0.227647,0.003132
2019/11/26,2907.06,0.808634,-1.21346,0.000133
2019/11/27,2903.19,1.313007,0.416395,-0.00058
2019/11/28,2889.69,0.788578,0.224204,-0.00202
2019/11/29,2871.98,0.540871,0.205166,-0.00267
2019/12/2,2875.81,1.367085,-0.13675,0.000579
2019/12/3,2884.7,7.67E-12,0.84562,0.00134
2019/12/4,2878.12,0.582847,0.950441,-0.00099
2019/12/5,2899.47,0.989912,-1.63358,0.00321
2019/12/6,2912.01,0.501033,-0.4967,0.001874
2019/12/9,2914.48,1.896439,-1.36935,0.000368
2019/12/10,2917.32,0.913491,-1.55481,0.000423
2019/12/11,2924.42,1.017799,-0.85931,0.001056
2019/12/12,2915.7,0.175116,-0.34246,-0.0013
2019/12/13,2967.68,1.273643,-1.38797,0.007674
2019/12/16,2984.39,2.40E-15,-0.44756,0.002439
2019/12/17,3022.42,1.107343,-1.25053,0.005499
2019/12/18,3017.04,1.113036,-1.21021,-0.00077
2019/12/19,3017.07,1.292706,-0.94596,0.00000432
2019/12/20,3004.94,0.188851,0.263712,-0.00175
2019/12/23,2962.75,0.483566,-0.47835,-0.00614
2019/12/24,2982.68,1.258889,-0.28221,0.002912
2019/12/25,2981.88,0.298064,-0.63139,-0.00012
2019/12/26,3007.35,1.315691,-1.82431,0.003694
2019/12/27,3005.04,0.039438,-0.60685,-0.00033
2019/12/30,3040.02,1.30E-18,-0.16914,0.005026
2019/12/31,3050.12,0.584173,-0.12406,0.00144
2020/1/2,3085.2,1.309245,-0.7052,0.004966
2020/1/3,3083.79,6.49E-16,-0.33637,-0.0002
2020/1/6,3083.41,0.543979,0.421458,-0.000054
2020/1/7,3104.8,0.113331,-0.52926,0.003002
2020/1/8,3066.89,0.697871,-0.13568,-0.00534
2020/1/9,3094.88,5.67E-11,-0.60127,0.003946
2020/1/10,3092.29,0.272997,-0.31389,-0.00036
2020/1/13,3115.57,0.248952,0.067134,0.003257
2020/1/14,3106.82,0.438798,-1.09332,-0.00122
2020/1/15,3090.04,0.71632,-0.64191,-0.00235
2020/1/16,3074.08,0.628105,-0.97219,-0.00225
2020/1/17,3075.5,6.41E-13,-0.21951,0.000201
2020/1/20,3095.79,0.062636,-0.63743,0.002856
2020/1/21,3052.14,1.183387,-2.42351,-0.00617
2020/1/22,3060.75,0.304772,0.309379,0.001223
2020/1/23,2976.53,0.673119,-0.07478,-0.01212
2020/2/3,2746.61,0.443779,-0.40749,-0.03491
2020/2/4,2783.29,4.16E-17,-0.78605,0.005761
2020/2/5,2818.09,0.590187,0.015455,0.005396
2020/2/6,2866.51,0.061629,0.036263,0.007399
2020/2/7,2875.96,1.382585,-0.7013,0.001429
2020/2/10,2890.49,0.93279,-0.09044,0.002189
2020/2/11,2901.67,0.85327,-0.13863,0.001677
2020/2/12,2926.9,4.03E-13,0.428412,0.00376
2020/2/13,2906.07,1.249834,-1.3218,-0.0031
2020/2/14,2917.01,7.07E-10,-0.4,0.001632
2020/2/17,2983.62,0.284719,0.195095,0.009806
2020/2/18,2984.97,0.679713,-0.02065,0.000196
2020/2/19,2975.4,0.828815,-0.2787,-0.00139
2020/2/20,3030.15,1.112698,-1.20698,0.007919
2020/2/21,3039.67,2.02E-11,-0.66191,0.001362
2020/2/24,3031.23,0.604624,-0.64339,-0.00121
2020/2/25,3013.05,0.008768,-0.46973,-0.00261
2020/2/26,2987.93,0.387303,0.339022,-0.00364
2020/2/27,2991.33,3.72E-10,-0.72983,0.000494
2020/2/28,2880.3,0.946294,-0.38703,-0.01643
2020/3/2,2970.93,2.530092,-0.99129,0.013455
2020/3/3,2992.9,0.572231,0.574447,0.0032
2020/3/4,3011.67,1.23E-11,-0.43409,0.002715
2020/3/5,3071.68,0.70028,0.004157,0.008569
2020/3/6,3034.51,0.523566,0.196397,-0.00529
2020/3/9,2943.29,6.05E-14,-0.67375,-0.01326
2020/3/10,2996.76,6.25E-17,0.770394,0.007819
2020/3/11,2968.52,1.720608,-1.49913,-0.00411
2020/3/12,2923.49,0.665804,0.14741,-0.00664
2020/3/13,2887.43,0.660494,1.459502,-0.00539
2020/3/16,2789.25,0.506497,-0.5823,-0.01502
2020/3/17,2779.64,0.564236,0.341179,-0.0015
2020/3/18,2728.76,0.492201,-0.68313,-0.00802
2020/3/19,2702.13,0.012785,0.248784,-0.00426
2020/3/20,2745.62,1.15E-10,-0.38763,0.006934
2020/3/23,2660.17,0.002811,-0.41287,-0.01373
2020/3/24,2722.44,1.10E-10,-0.34861,0.010049
2020/3/25,2781.59,0.585673,-0.11064,0.009335
2020/3/26,2764.91,1.92E-11,-0.00422,-0.00261
2020/3/27,2772.2,0.842681,-0.07264,0.001144
2020/3/30,2747.21,4.68E-12,-0.40266,-0.00393
2020/3/31,2750.3,0.212864,-0.03688,0.000488
2020/4/1,2734.52,1.097846,-0.87146,-0.0025
2020/4/2,2780.64,0.158972,0.234265,0.007264
2020/4/3,2763.99,0.254749,0.737672,-0.00261
2020/4/7,2820.76,0.070898,0.473105,0.00883
2020/4/8,2815.37,1.796114,-1.08922,-0.00083
2020/4/9,2825.9,3.47E-12,0.24433,0.001621
2020/4/10,2796.63,0.324924,-0.5259,-0.00452
2020/4/13,2783.05,0.672481,-0.22385,-0.00211
2020/4/14,2827.28,1.095654,-0.70619,0.006848
2020/4/15,2811.17,0.82886,-0.4579,-0.00248
2020/4/16,2819.94,0.499579,-0.62694,0.001353
2020/4/17,2838.49,0.34657,-0.19831,0.002848
2020/4/20,2852.55,0.492663,-0.29975,0.002146
2020/4/21,2827.01,0.129778,-0.93191,-0.00391
2020/4/22,2843.98,0.387838,-1.06158,0.002599
2020/4/23,2838.5,0.229073,0.670135,-0.00084
2020/4/24,2808.53,0.598406,-0.35794,-0.00461
2020/4/27,2815.49,0.70214,0.212207,0.001075
2020/4/28,2810.02,0.994295,0.115167,-0.00084
2020/4/29,2822.44,0.732911,-1.28768,0.001915
2020/4/30,2860.08,1.046522,-0.67378,0.005753
2020/5/6,2878.14,0.277798,1.247452,0.002734
2020/5/7,2871.52,1.320503,-0.7801,-0.001
2020/5/8,2895.34,0.855989,-0.95105,0.003588
2020/5/11,2894.8,0.530658,-0.22977,-0.000081
2020/5/12,2891.56,3.44E-12,0.006799,-0.00049
2020/5/13,2898.05,0.416666,0.178682,0.000974
2020/5/14,2870.34,0.069193,0.07589,-0.00417
2020/5/15,2868.46,3.33E-11,0.089396,-0.00028
2020/5/18,2875.42,0.605461,0.007235,0.001052
2020/5/19,2898.58,2.12E-10,0.337014,0.003484
2020/5/20,2883.74,8.48E-10,-1.51905,-0.00223
2020/5/21,2867.92,1.04E-09,-0.46557,-0.00239
2020/5/22,2813.77,0.867415,-0.51391,-0.00828
2020/5/25,2817.97,1.10167,0.002774,0.000648
2020/5/26,2846.55,1.098048,-1.31358,0.004382
2020/5/27,2836.8,1.001163,-1.02158,-0.00149
2020/5/28,2846.22,4.52E-15,-0.31444,0.00144
2020/5/29,2852.35,0.754061,-0.12277,0.000934
2020/6/1,2915.43,0.033647,1.06163,0.0095
2020/6/2,2921.4,7.20E-13,0.281205,0.000888
2020/6/3,2923.37,0.762228,-0.50853,0.000293
2020/6/4,2919.25,0.464983,0.361718,-0.00061
2020/6/5,2930.8,0.041668,0.667126,0.001715
2020/6/8,2937.77,0.458244,0.277878,0.001032
2020/6/9,2956.11,1.464102,-0.98946,0.002703
2020/6/10,2943.75,0.452083,0.41289,-0.00182
2020/6/11,2920.9,2.158686,-1.93615,-0.00338
2020/6/12,2919.74,0.823154,-0.72405,-0.00017
2020/6/15,2890.03,0.387578,0.38555,-0.00444
2020/6/16,2931.75,0.97023,0.874276,0.006225
2020/6/17,2935.87,1.803572,-1.31203,0.00061
2020/6/18,2939.32,1.91E-17,0.523258,0.00051
2020/6/19,2967.63,1.02E-15,0.076799,0.004163
2020/6/22,2965.27,1.1881,-1.12199,-0.00035
2020/6/23,2970.62,1.078929,-0.95027,0.000783
2020/6/24,2979.55,2.88E-12,-0.38965,0.001304
2020/6/29,2961.52,0.388667,0.51356,-0.00264
2020/6/30,2984.67,0.075012,0.26129,0.003382
2020/7/1,3025.98,0.229772,0.113333,0.00597
2020/7/2,3090.57,0.290133,-0.06757,0.009173
2020/7/3,3152.81,1.136136,-0.52115,0.008659
2020/7/6,3332.88,7.31E-11,-0.02981,0.024122
2020/7/7,3345.34,0.153071,1.46837,0.001621
2020/7/8,3403.44,0.692716,-0.16552,0.007478
2020/7/9,3450.59,6.94E-18,0.045658,0.005975
2020/7/10,3383.32,0.855617,-1.09107,-0.00855
2020/7/13,3443.29,2.98E-12,0.389251,0.007631
2020/7/14,3414.62,0.359038,0.095898,-0.00363
2020/7/15,3361.3,1.22E-12,0.415763,-0.00684
2020/7/16,3210.1,1.556301,-1.74614,-0.01999
2020/7/17,3214.13,2.46E-15,0.840441,0.000545
2020/7/20,3314.15,1.57E-10,0.384689,0.013309
2020/7/21,3320.89,0.675458,-0.75627,0.000882
2020/7/22,3333.16,3.68E-11,-0.34441,0.001602
2020/7/23,3325.11,0.875779,-0.96055,-0.00105
2020/7/24,3196.77,0.914429,0.476325,-0.01709
2020/7/27,3205.23,0.632124,0.599652,0.001148
2020/7/28,3227.96,0.869412,-0.04305,0.003069
2020/7/29,3294.55,1.651607,-1.18054,0.008868
2020/7/30,3286.82,0.698689,-0.38866,-0.00102
2020/7/31,3310.01,0.77031,-0.48912,0.003053
2020/8/3,3367.97,0.502686,-0.60017,0.007539
2020/8/4,3371.69,0.320758,-0.0104,0.000479
2020/8/5,3377.56,2.35E-11,1.047264,0.000755
2020/8/6,3386.46,1.010602,-0.45227,0.001143
2020/8/7,3354.04,0.83129,0.548081,-0.00418
2020/8/10,3379.25,0.522018,-0.37673,0.003252
2020/8/11,3340.29,0.977605,-0.61978,-0.00504
2020/8/12,3319.27,0.666791,0.439859,-0.00274
2020/8/13,3320.73,1.000046,-0.92193,0.000191
2020/8/14,3360.1,0.435501,-0.10166,0.005119
2020/8/17,3438.8,0.356133,-0.52979,0.010055
2020/8/18,3451.09,1.353899,-0.51639,0.001549
2020/8/19,3408.13,0.054842,-0.8814,-0.00544
2020/8/20,3363.9,1.64E-11,-0.90489,-0.00567
2020/8/21,3380.68,0.685024,0.505495,0.002161
2020/8/24,3385.64,0.598037,-0.21555,0.000637
2020/8/25,3373.58,1.21E-14,-0.88073,-0.00155
2020/8/26,3329.74,2.80E-11,-0.52038,-0.00568
2020/8/27,3350.11,0.777037,0.193809,0.002649
2020/8/28,3403.81,0.239096,-0.53086,0.006906
2020/8/31,3395.68,0.168158,-0.37,-0.00104
2020/9/1,3410.61,0.50619,-0.12942,0.001905
2020/9/2,3404.8,0.878639,-1.76166,-0.00074
2020/9/3,3384.98,0.446136,0.071313,-0.00254
2020/9/4,3355.37,2.08E-17,-0.02497,-0.00382
2020/9/7,3292.59,0.258126,-1.05214,-0.0082
2020/9/8,3316.42,3.39E-11,0.143063,0.003132
2020/9/9,3254.63,0.27991,0.076655,-0.00817
2020/9/10,3234.82,0.254766,-0.02388,-0.00265
2020/9/11,3260.35,0.748659,0.510793,0.003414
2020/9/14,3278.81,1.116743,-1.63459,0.002452
2020/9/15,3295.68,1.022492,-0.38672,0.002229
2020/9/16,3283.92,0.406648,0.352475,-0.00155
2020/9/17,3270.44,1.045552,-0.58569,-0.00179
2020/9/18,3338.09,8.21E-11,-0.33761,0.008892
2020/9/21,3316.94,5.18E-13,-0.2682,-0.00276
2020/9/22,3274.3,0.705331,0.080381,-0.00562
2020/9/23,3279.71,0.528538,-0.3537,0.000717
2020/9/24,3223.18,0.226903,-0.25093,-0.00755
2020/9/25,3219.42,0.81798,-1.32681,-0.00051
2020/9/28,3217.53,0.280659,0.176839,-0.00026
2020/9/29,3224.36,0.64752,0.051518,0.000921
2020/9/30,3218.05,7.64E-15,0.119025,-0.00085
2020/10/9,3272.08,1.89E-16,0.276286,0.007231
2020/10/12,3358.47,2.78E-12,0.164022,0.011318
2020/10/13,3359.75,0.636275,-0.6674,0.000165
2020/10/14,3340.78,1.11E-10,0.665511,-0.00246
2020/10/15,3332.18,1.512336,-0.60406,-0.00112
2020/10/16,3336.36,0.396094,-1.0695,0.000544
2020/10/19,3312.67,0.92859,-0.5479,-0.00309
2020/10/20,3328.1,0.593873,0.054664,0.002018
2020/10/21,3325.02,0.836665,0.01106,-0.0004
2020/10/22,3312.5,0.601505,-0.9914,-0.00164
2020/10/23,3278,0.684803,-0.67073,-0.00455
2020/10/26,3251.12,1.339646,-0.15998,-0.00358
2020/10/27,3254.32,2.97E-11,0.527294,0.000427
2020/10/28,3269.24,0.181714,0.040602,0.001987
2020/10/29,3272.73,0.501756,0.965042,0.000463
2020/10/30,3224.53,0.898136,-0.22691,-0.00644
2020/11/2,3225.12,0.656476,0.38837,0.0000795
2020/11/3,3271.07,3.71E-12,0.259661,0.006144
2020/11/4,3277.44,1.159013,-0.33213,0.000845
2020/11/5,3320.13,0.674942,0.010028,0.00562
2020/11/6,3312.16,0.247636,0.920163,-0.00104
2020/11/9,3373.73,0.637265,-0.41599,0.007999
2020/11/10,3360.15,0.575832,0.223264,-0.00175
2020/11/11,3342.2,0.319043,-0.24169,-0.00233
2020/11/12,3338.68,1.232393,-1.7048,-0.00046
2020/11/13,3310.1,0.867279,-1.00152,-0.00373
2020/11/16,3346.97,0.659317,-0.04089,0.004811
2020/11/17,3339.9,0.786298,-0.6822,-0.00092
2020/11/18,3347.3,0.82405,-0.54158,0.000961
2020/11/19,3363.09,0.143643,-0.15394,0.002044
2020/11/20,3377.73,1.638239,-1.03793,0.001886
2020/11/23,3414.49,0.479846,0.692726,0.004701
2020/11/24,3402.82,0.37344,-0.14837,-0.00149
2020/11/25,3362.33,0.63927,1.216568,-0.0052
2020/11/26,3369.73,9.53E-14,0.468385,0.000955
2020/11/27,3408.31,1.376725,-1.10342,0.004944
2020/11/30,3391.76,4.89E-16,0.432727,-0.00211
2020/12/1,3451.94,0.676984,-0.96207,0.007638
2020/12/2,3449.38,1.707434,-1.32649,-0.00032
2020/12/3,3442.14,1.712923,-1.15308,-0.00091
2020/12/4,3444.58,0.284399,-0.58469,0.000308
2020/12/7,3416.6,0.992846,0.23107,-0.00354
2020/12/8,3410.18,0.10045,0.859568,-0.00082
2020/12/9,3371.96,0.927553,0.026742,-0.00489
2020/12/10,3373.28,5.16E-11,-0.47623,0.00017
2020/12/11,3347.19,0.706699,-0.16257,-0.00337
2020/12/14,3369.12,1.018025,-0.65421,0.002836
2020/12/15,3367.23,0.791613,-0.94364,-0.00024
2020/12/16,3366.98,0.29736,0.146866,-0.000032
2020/12/17,3404.87,2.78E-17,0.314021,0.00486
2020/12/18,3394.9,0.239681,0.416092,-0.00127
2020/12/21,3420.57,0.908263,0.511345,0.003271
2020/12/22,3356.78,0.721955,0.123415,-0.00818
2020/12/23,3382.32,0.066069,0.506113,0.003292
2020/12/24,3363.11,0.687926,0.252415,-0.00247
2020/12/25,3396.56,4.32E-11,-0.05347,0.004298
2020/12/28,3397.29,0.647671,-0.18931,0.0000933
2020/12/29,3379.04,1.21092,-1.89013,-0.00234
2020/12/30,3414.45,0.470689,-1.00459,0.004527
2020/12/31,3473.07,0.164028,0.34215,0.007393
